condition,group,repeat,run_id,source_file,api_error,raw_text_nonempty,parse_success,parse_status,schema_valid,schema_completeness,evidence_coverage,unsupported_claim_rate,used_evidence_id_count,invalid_evidence_id_count,used_risk_item_id_count,invalid_risk_item_id_count,required_risk_count,covered_required_risk_count,missing_required_risk_count,risk_recall,numerical_conflict_count,numerical_conflict_rate,recommendation_consistency,feasible_recommendation,verifier_pass
Knee - walking and drop landing,ec_llm,2,dec948bd-331d-4ec1-b215-b4e5fc19852d,P04_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ec_llm,3,d716e7b3-ecc4-4e1b-8430-4b063d88bf97,P04_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,4,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ec_llm,4,0234ab31-f43a-400d-9416-5f97c78dfb56,P04_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,4,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ec_llm,5,112b0281-ccc5-4328-a69d-553aea5ccc94,P04_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,4,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ordinary_llm,1,2d10d0e0-8287-4c2b-8517-f7410f62ad77,P04_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,0.7272727272727273,0.2727272727272727,9,1,1,0,1,1,0,1.0,2,0.3333333333333333,1.0,1.0,0.0
Knee - walking and drop landing,ordinary_llm,2,d9413273-0108-4f0e-b5ec-0d3de98b0ee7,P04_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ordinary_llm,3,b503c4a9-cf20-4c6b-a783-4195bc6da2c8,P04_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,6,0,1,0,1,1,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
Knee - walking and drop landing,ordinary_llm,4,cbec7cfe-d927-4aef-bca1-b8228aa66a28,P04_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,5,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and drop landing,ordinary_llm,5,9fd90e06-d09c-4ae5-9fe2-06e738ee2518,P04_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,1,0,1,1,0,1.0,1,0.2,1.0,1.0,0.0
Hip - walking,ec_llm,1,7da57ed2-bb6d-47d0-9b0c-3a7c3a4abfd3,P05_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,6,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ec_llm,2,2dc0fd03-9b20-462f-902b-0c65fec856f2,P05_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ec_llm,3,1f938c35-0e89-43d1-b9fe-295c4eb4dd11,P05_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ec_llm,4,e0056ad1-7792-40ee-af81-908c5c10cd65,P05_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ec_llm,5,193f15e3-5a6f-412e-b781-2b7aa3d40f15,P05_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ordinary_llm,1,6eff8b73-d417-4f75-8fb7-cd9032bd9ce7,P05_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ordinary_llm,2,26d19657-c163-4cc0-935d-d47383e225ca,P05_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,19,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ordinary_llm,3,a779fc96-c548-4058-bb63-023a2c643ede,P05_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ordinary_llm,4,e31d7d08-6b6c-4a68-b482-fbaf84a319a3,P05_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking,ordinary_llm,5,ff7be72f-c843-4835-9baf-b3c841828252,P05_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,12,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ec_llm,1,519fc3ae-6937-4ad1-bf2e-ee24ffff6eb4,P06_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ec_llm,2,5c3eed6d-56fa-41b7-96f2-839e89cc427f,P06_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,1,0.5,1.0,1.0,0.0
Hip - walking and running,ec_llm,3,2a50872d-322d-4abf-b98a-ea26bb83eb48,P06_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,5,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ec_llm,4,e0431ece-afb6-4eab-937f-c2ac71933a40,P06_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ec_llm,5,2c836aa7-e3fe-438d-a07b-1d6efdfd306a,P06_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ordinary_llm,1,e7edaf8e-b002-4d67-b535-5780b832f8b6,P06_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,14,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ordinary_llm,2,46b1bfa5-7577-4044-8e8d-0403ac275d7a,P06_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ordinary_llm,3,4b47736d-2d0a-475f-89ac-3a0c7b2302e2,P06_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ordinary_llm,4,e1075a60-3aef-4d91-b972-b23dad6f96c8,P06_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,12,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and running,ordinary_llm,5,11d1664c-2f28-452f-b8fd-0caca768bcd9,P06_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,12,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ec_llm,1,34dbb904-01fc-4268-940a-bb468c2d942e,P07_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ec_llm,2,064d40f1-e2a8-409d-ade3-b5f787f6c9ce,P07_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ec_llm,3,e3733e53-da10-4878-8905-edb0a7bbe32a,P07_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ec_llm,4,81ba8a23-4dfa-43f4-9ffa-627c4c8b4253,P07_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ec_llm,5,324d0111-949b-4618-92f5-5ada9e4efcba,P07_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,12,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ordinary_llm,1,f4d306b2-9f78-40b0-bbaf-5d9ef059b1e5,P07_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ordinary_llm,2,867c1a06-12bb-4d2b-b555-42b04b415b11,P07_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,6,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ordinary_llm,3,1e48cc94-1e59-4063-b865-4798a8d1fd29,P07_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,19,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ordinary_llm,4,3d653636-a357-488a-9c0d-220ca9b8d015,P07_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Hip - walking, running, and drop landing",ordinary_llm,5,bd2463cf-7f51-4840-93f6-452568b661f7,P07_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ec_llm,1,97d2aaab-42e1-4816-bc3f-907190628302,P08_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ec_llm,2,7b6c6afa-f211-463e-a892-edbb6db4cd72,P08_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ec_llm,3,660500e6-6f3b-4db5-b6b9-a47ffbe602f8,P08_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,5,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ec_llm,4,083b03be-abc4-4f21-9ffc-006eafbe9f99,P08_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ec_llm,5,217a2554-a6cc-4524-b6d6-7c48ede92a35,P08_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ordinary_llm,1,7a85e721-2a5a-471f-9327-5240bbb90e99,P08_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
Hip - walking and drop landing,ordinary_llm,2,2eef2b04-672c-44f1-b85f-450acaafe4dd,P08_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ordinary_llm,3,39aaa814-e840-4893-93f2-ca09688d453e,P08_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ordinary_llm,4,18cff673-ae0b-4c1a-a088-ffca555c4ea5,P08_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Hip - walking and drop landing,ordinary_llm,5,c0b1d895-b591-4440-96fc-613ef1245962,P08_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
